group,variable
movie,superNatural
movie,superNatural
movie,action
movie,drama
movie,drama
movie,drama
movie,drama
movie,fantasy
movie,fantasy
movie,adventure
movie,adventure
movie,adventure
movie,adventure
movie,adventure
movie,romance
movie,romance
movie,romance
movie,comedy
movie,SCI-FI
movie,slice of life
OVA,superNatural
OVA,action
OVA,action
OVA,military
OVA,comedy
OVA,mecha
OVA,SCI-FI
OVA,horror
OVA,vampire
OVA,Dementia
OVA,Paraody
OVA,Seinen
tv,mystery
tv,mystery
tv,mystery
tv,mystery
tv,mystery
tv,mystery
tv,police
tv,police
tv,police
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,Psychological
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,superNatural
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,thriller
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,action
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,drama
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,fantasy
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,shounen
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,adventure
tv,game
tv,game
tv,game
tv,game
tv,game
tv,game
tv,game
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,romance
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,magic
tv,military
tv,military
tv,military
tv,military
tv,military
tv,military
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,comedy
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,school
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,mecha
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,superpower
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,SCI-FI
tv,martial arts
tv,martial arts
tv,martial arts
tv,martial arts
tv,music  
tv,music  
tv,music  
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,ecchi
tv,space
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,horror
tv,vampire
tv,vampire
tv,vampire
tv,vampire
tv,vampire
tv,vampire
tv,Dementia
tv,Parody
tv,Parody
tv,Parody
tv,Parody
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Harem
tv,Demons
tv,Demons
tv,Demons
tv,Demons
tv,Demons
tv,Demons
tv,Demons
tv,historical
tv,historical
tv,historical
tv,historical
tv,historical
tv,historical
tv,shoujo
tv,shoujo
tv,shoujo
tv,shoujo
tv,shoujo
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,Seinen
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,slice of life
tv,samurai
tv,samurai
tv,sports
tv,sports
tv,sports
